scene,cab_mean,cab_variance,cab_max,cab_min
Trails,-7.032849e-05,3.8479357e-06,0.014135003,-0.013886988
Trails,-2.995544e-05,1.4502971e-06,0.012128353,-0.0120995045
Trails,-1.3847889e-05,5.922658e-07,0.009217501,-0.009675801
Trails,-3.4128538e-05,1.4510772e-06,0.010739803,-0.011764169
Trails,-7.719098e-05,2.6587156e-06,0.014789224,-0.013045788
Trails,-0.0001573235,8.44048e-06,0.023281097,-0.01859498
Trails,-7.032849e-05,3.8479357e-06,0.014135003,-0.013886988
Trails,-2.995544e-05,1.4502971e-06,0.012128353,-0.0120995045
Trails,-1.3847889e-05,5.922658e-07,0.009217501,-0.009675801
Trails,-3.4128538e-05,1.4510772e-06,0.010739803,-0.011764169
Trails,-7.719098e-05,2.6587156e-06,0.014789224,-0.013045788
Trails,-0.0001573235,8.44048e-06,0.023281097,-0.01859498
Trails,-7.213346e-05,3.9587e-06,0.014201283,-0.013887346
Trails,-3.016196e-05,1.463789e-06,0.0121023655,-0.012097359
Trails,-1.405309e-05,6.052074e-07,0.0092179775,-0.009743929
Trails,-3.489718e-05,1.4936705e-06,0.010782123,-0.011946142
Trails,-7.834176e-05,2.6984287e-06,0.014710665,-0.0131034255
Trails,-0.00015953106,8.552725e-06,0.023286104,-0.018719614
Tarmac,-5.5189914e-05,1.8029507e-06,0.00976491,-0.013772845
Tarmac,-2.8074097e-05,5.73826e-07,0.010502458,-0.006580591
Tarmac,-2.2081553e-05,1.0386506e-06,0.011703253,-0.013904631
Tarmac,-1.8623748e-05,8.3390796e-07,0.0111705065,-0.012493789
Tarmac,-5.5189914e-05,1.8029507e-06,0.00976491,-0.013772845
Tarmac,-2.8074097e-05,5.73826e-07,0.010502458,-0.006580591
Tarmac,-2.2081553e-05,1.0386506e-06,0.011703253,-0.013904631
Tarmac,-1.8623748e-05,8.3390796e-07,0.0111705065,-0.012493789
Tarmac,-5.5623357e-05,1.821762e-06,0.009738445,-0.013839245
Tarmac,-2.852821e-05,5.843099e-07,0.010527372,-0.006644547
Tarmac,-2.2029843e-05,1.0384528e-06,0.011689901,-0.013914108
Tarmac,-1.8578017e-05,8.3479756e-07,0.011158824,-0.012504697
Old-Snow-Scenarios,-1.2198359e-05,4.650119e-07,0.0066473484,-0.0116068125
Old-Snow-Scenarios,-2.9202338e-06,6.7900906e-08,0.0031012297,-0.0056018233
Old-Snow-Scenarios,-1.831514e-05,7.501356e-07,0.0055025816,-0.0115404725
Old-Snow-Scenarios,-9.3525005e-06,3.8420646e-07,0.0049540997,-0.008959115
Old-Snow-Scenarios,-1.9796305e-05,6.361087e-07,0.011192799,-0.008793473
Old-Snow-Scenarios,-2.2968921e-05,1.0106595e-06,0.011366248,-0.010932267
Old-Snow-Scenarios,-1.2198359e-05,4.650119e-07,0.0066473484,-0.0116068125
Old-Snow-Scenarios,-2.9202338e-06,6.7900906e-08,0.0031012297,-0.0056018233
Old-Snow-Scenarios,-1.8315122e-05,7.5013463e-07,0.0055025816,-0.0115404725
Old-Snow-Scenarios,-9.3525005e-06,3.8420646e-07,0.0049540997,-0.008959115
Old-Snow-Scenarios,-1.97963e-05,6.3610884e-07,0.011192799,-0.008793473
Old-Snow-Scenarios,-2.2968921e-05,1.0106595e-06,0.011366248,-0.010932267
Old-Snow-Scenarios,-1.2231261e-05,4.681996e-07,0.006631732,-0.011681616
Old-Snow-Scenarios,-2.9688604e-06,6.934193e-08,0.0031318665,-0.005632937
Old-Snow-Scenarios,-1.8371067e-05,7.5099115e-07,0.005517006,-0.011545122
Old-Snow-Scenarios,-9.4215975e-06,3.8731284e-07,0.0050019026,-0.009023428
Old-Snow-Scenarios,-1.9857127e-05,6.3761297e-07,0.011135459,-0.008745432
Old-Snow-Scenarios,-2.4926598e-05,1.1162733e-06,0.01143229,-0.011044502
